team_iso,nat_iso,coach,src
PRY,ARG,Gustavo Alfaro,eswiki
ECU,ARG,Sebastián Beccacece,eswiki
URY,ARG,Marcelo Bielsa,eswiki
COL,ARG,Néstor Lorenzo,eswiki
USA,ARG,Mauricio Pochettino,eswiki
ARG,ARG,Lionel Scaloni,eswiki
AUS,AUS,Tony Popovic,eswiki
IRQ,AUS,Graham Arnold,eswiki
ZAF,BEL,Hugo Broos,eswiki
BIH,BIH,Sergej Barbarez,eswiki
CPV,CPV,Bubista,eswiki
CIV,CIV,Emerse Faé,eswiki
HRV,HRV,Zlatko Dalić,eswiki
CZE,CZE,Miroslav Koubek,eswiki
NZL,ENG,Darren Bazeley,eswiki
SWE,ENG,Graham Potter,eswiki
EGY,EGY,Hossam Hassan,eswiki
FRA,FRA,Didier Deschamps,eswiki
BEL,FRA,Rudi García,eswiki
TUN,FRA,Sabri Lamouchi,eswiki
COD,FRA,Sébastien Desabre,eswiki
HTI,FRA,Sébastien Migné,eswiki
DEU,DEU,Julian Nagelsmann,eswiki
AUT,DEU,Ralf Rangnick,eswiki
ENG,DEU,Thomas Tuchel,eswiki
SAU,GRC,Giorgos Donis,eswiki
BRA,ITA,Carlo Ancelotti,eswiki
UZB,ITA,Fabio Cannavaro,eswiki
TUR,ITA,Vincenzo Montella,eswiki
IRN,IRN,Amir Ghalenoei,eswiki
JPN,JPN,Hajime Moriyasu,eswiki
KOR,KOR,Hong Myung-bo,eswiki
MAR,MAR,Mohamed Ouahbi,eswiki
JOR,MAR,Jamal Sellami,eswiki
MEX,MEX,Javier Aguirre,eswiki
NLD,NLD,Ronald Koeman,eswiki
CUW,NLD,Dick Advocaat,eswiki
NOR,NOR,Ståle Solbakken,eswiki
GHA,PRT,Carlos Queiroz,eswiki
SEN,SEN,Pape Thiaw,eswiki
QAT,ESP,Julen Lopetegui,eswiki
ESP,ESP,Luis de la Fuente,eswiki
PRT,ESP,Roberto Martínez,eswiki
PAN,ESP,Thomas Christiansen,eswiki
SCO,SCO,Steve Clarke,eswiki
CHE,CHE,Murat Yakin,eswiki
DZA,CHE,Vladimir Petković,eswiki
CAN,USA,Jesse Marsch,eswiki
