year,pct_born,n_born,n_with_country,n_total,pct_sin_pais
1930,94.2,229,243,245,0.8
1934,89.7,295,329,342,3.8
1938,85.4,269,315,320,1.6
1950,96.3,260,270,281,3.9
1954,94.7,306,323,350,7.7
1958,98.0,340,347,352,1.4
1962,95.3,327,343,352,2.6
1966,96.4,321,333,352,5.4
1970,94.9,319,336,349,3.7
1974,94.7,321,339,352,3.7
1978,98.3,340,346,352,1.7
1982,95.2,496,521,526,1.0
1986,95.2,497,522,528,1.1
1990,94.2,489,519,528,1.7
1994,91.8,480,523,528,0.9
1998,93.8,656,699,705,0.9
2002,91.4,671,734,736,0.3
2006,91.3,670,734,736,0.3
2010,89.7,656,731,736,0.7
2014,88.8,650,732,736,0.5
2018,88.9,649,730,736,0.8
2022,84.6,691,817,831,1.7
