year,grupo,pct_si,n
2009,afro,20.3,2016
2009,blanco,14.1,5420
2009,indigena,32.4,1635
2009,mestizo,16.2,8375
2009,otros,19.1,465
2010,afro,20.8,2139
2010,blanco,16.1,5638
2010,indigena,39.5,1532
2010,mestizo,19.9,8397
2010,otros,23.2,458
2011,afro,26.7,2083
2011,blanco,16.9,5300
2011,indigena,37.4,1708
2011,mestizo,17.8,8672
2011,otros,18.9,361
2015,afro,19.3,1868
2015,blanco,15.3,5425
2015,indigena,27.4,1460
2015,mestizo,15.4,8907
2015,otros,15.2,449
2020,afro,25.8,2134
2020,blanco,20.2,4278
2020,indigena,29.8,2035
2020,mestizo,20.9,7867
2020,otros,23.7,569
