item,C_004_201,C_004_202,C_004_203,C_004_204,C_004_205,C_004_206,C_004_207,C_004_208,C_004_209,C_004_210,C_004_211,C_004_212,C_004_213,C_004_214
C_004_201,1.0,0.959,0.77,0.871,0.841,0.861,0.257,0.797,0.881,0.665,0.682,0.761,0.652,0.521
C_004_202,0.959,1.0,0.75,0.902,0.794,0.91,0.354,0.808,0.865,0.727,0.759,0.796,0.738,0.536
C_004_203,0.77,0.75,1.0,0.773,0.68,0.673,0.513,0.803,0.85,0.753,0.766,0.68,0.595,0.632
C_004_204,0.871,0.902,0.773,1.0,0.85,0.843,0.367,0.822,0.916,0.653,0.692,0.801,0.615,0.394
C_004_205,0.841,0.794,0.68,0.85,1.0,0.759,0.238,0.693,0.844,0.459,0.423,0.618,0.392,0.27
C_004_206,0.861,0.91,0.673,0.843,0.759,1.0,0.473,0.75,0.835,0.755,0.812,0.864,0.771,0.515
C_004_207,0.257,0.354,0.513,0.367,0.238,0.473,1.0,0.51,0.407,0.774,0.55,0.515,0.556,0.655
C_004_208,0.797,0.808,0.803,0.822,0.693,0.75,0.51,1.0,0.832,0.838,0.667,0.752,0.592,0.523
C_004_209,0.881,0.865,0.85,0.916,0.844,0.835,0.407,0.832,1.0,0.689,0.755,0.837,0.684,0.542
C_004_210,0.665,0.727,0.753,0.653,0.459,0.755,0.774,0.838,0.689,1.0,0.802,0.786,0.792,0.797
C_004_211,0.682,0.759,0.766,0.692,0.423,0.812,0.55,0.667,0.755,0.802,1.0,0.795,0.826,0.685
C_004_212,0.761,0.796,0.68,0.801,0.618,0.864,0.515,0.752,0.837,0.786,0.795,1.0,0.851,0.651
C_004_213,0.652,0.738,0.595,0.615,0.392,0.771,0.556,0.592,0.684,0.792,0.826,0.851,1.0,0.82
C_004_214,0.521,0.536,0.632,0.394,0.27,0.515,0.655,0.523,0.542,0.797,0.685,0.651,0.82,1.0
