iso3,C_004_201_2020,C_004_202_2020,C_004_203_2020,C_004_204_2020,C_004_205_2020,C_004_205_2023,C_004_205_2024,C_004_206_2020,C_004_206_2023,C_004_206_2024,C_004_207_2020,C_004_207_2023,C_004_207_2024,C_004_208_2020,C_004_208_2023,C_004_208_2024,C_004_209_2020,C_004_209_2023,C_004_210_2020,C_004_211_2020,C_004_212_2020,C_004_213_2020,C_004_214_2020,IDX4_2020,IDX4_2023,IDX4_2024,IDX14_2020
ARG,38.6,46.9,52.3,50.8,37.5,42.1,28.2,60.1,50.2,35.1,64.8,55.8,52.3,37.4,36.9,38.6,41.6,39.8,62.1,71.3,40.9,53.6,56.8,49.9,46.3,38.6,51.0
BOL,61.5,61.0,73.4,77.1,77.5,73.9,74.5,75.0,68.5,59.9,60.2,56.6,53.7,72.6,70.7,66.7,61.9,61.9,65.0,71.6,51.1,42.1,47.1,71.3,67.4,63.7,64.1
BRA,41.9,38.2,37.2,44.0,45.1,47.4,39.9,40.2,41.8,28.5,52.1,52.7,52.4,37.8,36.1,40.4,28.6,31.9,42.6,48.5,19.5,10.8,28.9,43.8,44.5,40.3,36.8
CHL,46.9,53.7,64.1,63.7,39.0,55.2,53.7,65.1,63.4,55.8,70.6,64.1,63.2,73.3,87.2,87.1,45.8,63.1,80.0,78.5,43.2,40.4,59.4,62.0,67.5,64.9,58.8
COL,60.4,64.4,71.4,78.6,79.7,81.2,78.5,77.7,76.1,71.5,64.6,60.8,68.7,68.5,70.5,78.3,67.6,63.3,67.2,79.0,38.5,40.2,49.5,72.6,72.2,74.2,64.8
CRI,48.2,47.8,65.0,57.4,51.3,66.9,50.2,44.2,58.5,43.1,61.7,55.1,54.6,62.4,62.5,64.8,50.1,49.8,65.1,61.3,32.2,38.2,65.6,54.9,60.8,53.2,53.6
DOM,41.6,36.8,73.7,49.5,54.9,72.7,60.9,50.2,59.6,37.3,66.8,63.8,58.3,60.3,56.8,56.9,49.7,54.7,67.1,66.3,31.1,26.4,58.5,58.0,63.2,53.4,52.4
ECU,57.1,58.4,69.9,80.1,79.1,83.7,81.5,74.5,75.8,51.7,70.1,68.5,69.1,78.6,77.7,76.5,67.4,67.4,76.3,70.1,56.7,37.4,50.4,75.6,76.4,69.7,66.1
GTM,66.6,67.5,75.5,74.4,78.6,72.4,55.9,69.1,58.3,25.4,54.3,58.5,56.4,68.9,69.0,53.2,66.4,58.8,63.9,73.4,43.3,36.5,58.4,67.7,64.6,47.7,64.1
HND,40.0,41.7,57.1,60.4,55.1,59.4,54.0,48.1,45.4,15.0,59.7,55.2,51.4,46.0,46.1,32.3,44.4,43.5,44.8,58.4,22.2,14.0,23.3,52.2,51.5,38.2,43.9
MEX,57.6,57.0,63.3,66.4,60.7,51.4,46.8,66.3,54.6,44.6,50.6,49.6,50.5,65.2,51.9,55.9,62.8,57.4,59.8,72.1,45.4,38.8,36.7,60.7,51.9,49.4,57.3
NIC,39.9,42.2,57.4,49.1,50.9,,,48.2,,,57.1,,,57.2,,,46.2,,50.3,60.9,29.4,15.8,30.0,53.4,,,45.3
PAN,56.3,57.1,74.9,68.7,67.1,76.5,78.4,62.8,73.2,70.7,60.3,57.0,61.6,49.3,45.8,62.6,54.0,59.5,59.9,72.1,40.4,33.0,52.5,59.9,63.1,68.3,57.7
PER,58.1,61.2,67.6,81.4,78.2,81.3,82.5,73.9,71.0,67.4,64.0,65.4,61.3,72.1,77.6,77.3,70.0,67.5,66.1,73.3,58.0,53.4,64.7,72.1,73.8,72.1,67.3
PRY,38.9,35.6,61.6,53.0,31.4,41.2,35.3,41.9,35.2,23.8,58.6,48.6,44.2,42.7,35.6,32.8,48.8,43.0,51.0,71.5,36.4,29.9,50.6,43.7,40.2,34.0,46.6
SLV,33.2,34.8,53.8,58.6,56.1,53.3,37.5,38.5,34.3,13.0,56.0,51.8,43.4,43.1,37.0,28.1,43.3,37.8,44.7,56.4,26.1,10.8,25.7,48.4,44.1,30.5,41.5
URY,30.5,26.5,35.8,33.8,39.5,35.3,28.3,44.6,41.5,31.6,53.6,48.3,39.8,20.6,17.4,21.5,30.4,24.4,39.7,55.1,23.3,14.1,34.9,39.6,35.6,30.3,34.5
VEN,34.9,35.8,49.3,,39.5,34.6,22.1,43.3,34.4,25.9,47.2,39.2,28.8,44.1,37.7,26.4,33.3,33.1,45.7,59.3,24.4,15.8,26.0,43.5,36.5,25.8,38.4
