iso3,C_004_201,C_004_202,C_004_203,C_004_204,C_004_205,C_004_206,C_004_207,C_004_208,C_004_209,C_004_210,C_004_211,C_004_212,C_004_213,C_004_214
ARG,38.6,46.9,52.3,50.8,37.5,60.1,64.8,37.4,41.6,62.1,71.3,40.9,53.6,56.8
BOL,61.5,61.0,73.4,77.1,77.5,75.0,60.2,72.6,61.9,65.0,71.6,51.1,42.1,47.1
BRA,41.9,38.2,37.2,44.0,45.1,40.2,52.1,37.8,28.6,42.6,48.5,19.5,10.8,28.9
CHL,46.9,53.7,64.1,63.7,39.0,65.1,70.6,73.3,45.8,80.0,78.5,43.2,40.4,59.4
COL,60.4,64.4,71.4,78.6,79.7,77.7,64.6,68.5,67.6,67.2,79.0,38.5,40.2,49.5
CRI,48.2,47.8,65.0,57.4,51.3,44.2,61.7,62.4,50.1,65.1,61.3,32.2,38.2,65.6
DOM,41.6,36.8,73.7,49.5,54.9,50.2,66.8,60.3,49.7,67.1,66.3,31.1,26.4,58.5
ECU,57.1,58.4,69.9,80.1,79.1,74.5,70.1,78.6,67.4,76.3,70.1,56.7,37.4,50.4
GTM,66.6,67.5,75.5,74.4,78.6,69.1,54.3,68.9,66.4,63.9,73.4,43.3,36.5,58.4
HND,40.0,41.7,57.1,60.4,55.1,48.1,59.7,46.0,44.4,44.8,58.4,22.2,14.0,23.3
MEX,57.6,57.0,63.3,66.4,60.7,66.3,50.6,65.2,62.8,59.8,72.1,45.4,38.8,36.7
NIC,39.9,42.2,57.4,49.1,50.9,48.2,57.1,57.2,46.2,50.3,60.9,29.4,15.8,30.0
PAN,56.3,57.1,74.9,68.7,67.1,62.8,60.3,49.3,54.0,59.9,72.1,40.4,33.0,52.5
PER,58.1,61.2,67.6,81.4,78.2,73.9,64.0,72.1,70.0,66.1,73.3,58.0,53.4,64.7
PRY,38.9,35.6,61.6,53.0,31.4,41.9,58.6,42.7,48.8,51.0,71.5,36.4,29.9,50.6
SLV,33.2,34.8,53.8,58.6,56.1,38.5,56.0,43.1,43.3,44.7,56.4,26.1,10.8,25.7
URY,30.5,26.5,35.8,33.8,39.5,44.6,53.6,20.6,30.4,39.7,55.1,23.3,14.1,34.9
VEN,34.9,35.8,49.3,,39.5,43.3,47.2,44.1,33.3,45.7,59.3,24.4,15.8,26.0
