iso3,grupo,n,otra_raza,inmigrantes,homosexuales,otra_religion,bebedores_drogadictos,parejas_no_casadas,otro_idioma,jovenes
ARG,afro,17,7.7,16.3,20.2,5.2,83.2,0.0,3.9,0.0
ARG,blanco,560,0.9,3.5,8.2,1.6,95.6,1.0,2.5,2.8
ARG,indigena,16,0.0,21.8,17.8,0.0,76.8,0.0,5.4,0.0
ARG,mestizo,285,0.3,2.9,4.6,1.4,95.1,0.5,2.9,1.8
ARG,otros,19,3.5,7.7,0.0,0.0,70.1,0.0,7.7,14.6
BOL,afro,25,12.0,36.0,32.0,12.0,64.0,24.0,24.0,12.0
BOL,blanco,36,16.7,8.3,41.7,22.2,63.9,22.2,25.0,11.1
BOL,indigena,272,7.4,22.8,26.5,10.7,79.0,8.1,11.0,2.2
BOL,mestizo,557,5.7,19.2,29.6,6.3,86.0,4.1,9.5,3.9
BOL,otros,45,17.8,13.3,22.2,11.1,75.6,8.9,17.8,4.4
BRA,afro,312,4.5,8.7,8.3,6.4,79.5,4.5,9.3,4.2
BRA,blanco,350,1.7,6.9,7.4,3.1,86.6,2.6,8.3,3.4
BRA,indigena,29,3.4,3.4,10.3,0.0,72.4,0.0,10.3,6.9
BRA,mestizo,120,2.5,4.2,5.8,4.2,90.0,0.8,5.0,5.0
BRA,otros,54,5.6,13.0,9.3,3.7,75.9,0.0,9.3,1.9
CHL,afro,22,1.2,1.3,32.6,0.0,100.0,0.0,0.0,30.2
CHL,blanco,587,8.8,32.9,14.3,2.1,92.9,1.1,5.8,7.6
CHL,indigena,30,22.7,65.0,46.7,2.8,100.0,0.0,1.7,7.3
CHL,mestizo,313,11.2,21.9,16.7,3.5,88.2,5.7,6.6,0.9
CHL,otros,35,5.4,32.4,8.9,6.3,93.1,1.8,5.4,9.9
COL,afro,136,5.8,16.1,33.3,10.4,73.6,6.5,8.4,2.6
COL,blanco,250,6.8,23.3,20.8,10.7,82.5,2.2,9.2,1.9
COL,indigena,67,1.3,17.2,22.3,5.2,77.4,6.1,9.7,2.7
COL,mestizo,445,1.9,20.9,18.1,5.4,86.5,1.4,6.7,0.9
COL,otros,31,5.7,14.0,15.9,12.4,81.2,2.9,9.4,5.7
CRI,afro,133,3.8,9.8,15.8,8.3,88.0,3.8,3.8,2.3
CRI,blanco,282,4.3,8.9,16.0,6.0,90.4,6.0,5.3,3.5
CRI,indigena,35,2.9,5.7,5.7,2.9,94.3,2.9,0.0,14.3
CRI,mestizo,297,1.7,4.7,11.4,3.7,97.0,2.0,3.0,1.7
CRI,otros,11,9.1,18.2,18.2,9.1,100.0,9.1,0.0,0.0
DOM,afro,402,13.2,13.9,35.6,9.0,74.1,4.7,12.2,5.0
DOM,blanco,155,20.6,28.4,34.2,18.7,65.2,5.2,16.1,9.0
DOM,indigena,103,22.3,17.5,30.1,11.7,71.8,3.9,10.7,7.8
DOM,mestizo,205,13.2,15.1,33.2,8.3,75.1,6.3,13.2,4.4
DOM,otros,27,14.8,7.4,40.7,18.5,63.0,0.0,14.8,3.7
ECU,afro,60,10.0,18.3,20.0,3.3,81.7,5.0,18.3,10.0
ECU,blanco,39,10.3,33.3,35.9,15.4,82.1,15.4,23.1,7.7
ECU,indigena,61,8.2,24.6,29.5,11.5,86.9,11.5,4.9,3.3
ECU,mestizo,901,4.0,18.6,20.5,7.9,89.5,4.6,7.8,3.2
ECU,otros,11,9.1,18.2,0.0,9.1,81.8,0.0,9.1,18.2
GTM,afro,18,27.8,27.8,50.0,0.0,66.7,5.6,11.1,16.7
GTM,blanco,30,16.7,30.0,53.3,13.3,76.7,20.0,23.3,16.7
GTM,indigena,282,12.8,21.6,37.6,15.2,67.0,9.6,12.4,13.8
GTM,mestizo,394,9.6,21.1,35.0,12.9,73.9,7.6,12.7,11.7
GTM,otros,9,55.6,55.6,77.8,33.3,55.6,44.4,22.2,22.2
HND,afro,71,11.3,12.7,36.6,15.5,77.5,15.5,16.9,9.9
HND,blanco,155,11.0,12.9,32.9,7.1,76.8,7.1,7.7,5.8
HND,indigena,107,13.1,17.8,39.3,12.1,75.7,6.5,14.0,5.6
HND,mestizo,366,3.6,4.4,32.0,6.3,82.5,1.1,7.7,2.7
HND,otros,37,13.5,8.1,29.7,10.8,75.7,8.1,27.0,5.4
MEX,afro,25,10.5,11.0,25.3,5.7,64.0,0.0,2.6,0.0
MEX,blanco,59,10.4,16.0,22.8,10.0,78.4,0.0,10.2,1.5
MEX,indigena,159,4.3,17.9,10.9,4.5,85.2,0.8,2.9,2.3
MEX,mestizo,448,5.0,18.0,18.1,8.3,78.4,1.9,3.7,1.5
MEX,otros,21,7.4,7.2,14.2,7.4,93.2,0.0,3.4,0.0
PAN,afro,198,12.6,19.2,25.3,14.6,66.2,7.1,14.6,6.1
PAN,blanco,100,10.0,18.0,31.0,12.0,76.0,8.0,15.0,7.0
PAN,indigena,125,9.6,16.0,31.2,12.8,63.2,4.8,13.6,5.6
PAN,mestizo,354,7.1,14.4,26.8,7.3,78.2,3.4,6.5,4.2
PAN,otros,16,18.8,6.2,25.0,25.0,68.8,0.0,12.5,6.2
PER,afro,45,13.3,20.0,28.9,11.1,73.3,4.4,6.7,4.4
PER,blanco,71,9.9,33.8,22.5,5.6,77.5,4.2,5.6,4.2
PER,indigena,58,3.4,24.1,34.5,10.3,87.9,3.4,3.4,1.7
PER,mestizo,778,3.7,27.5,27.2,7.8,87.8,3.2,6.0,1.9
PER,otros,34,17.6,23.5,35.3,17.6,64.7,11.8,17.6,11.8
PRY,afro,46,10.9,6.5,45.7,15.2,87.0,10.9,17.4,0.0
PRY,blanco,229,7.0,9.6,39.3,11.8,86.0,6.1,8.7,5.7
PRY,indigena,48,12.5,18.8,41.7,14.6,83.3,12.5,16.7,6.2
PRY,mestizo,611,5.4,5.9,33.2,6.7,92.6,3.6,6.1,2.5
PRY,otros,34,8.8,14.7,32.4,17.6,82.4,2.9,8.8,0.0
SLV,afro,63,15.9,14.3,33.3,20.6,82.5,12.7,22.2,7.9
SLV,blanco,112,9.8,11.6,34.8,16.1,73.2,7.1,14.3,8.0
SLV,indigena,117,7.7,3.4,29.9,6.8,82.1,8.5,12.0,3.4
SLV,mestizo,273,5.9,4.4,24.5,7.0,90.1,4.0,10.6,2.9
SLV,otros,42,16.7,19.0,38.1,16.7,81.0,4.8,21.4,2.4
URY,afro,74,4.1,12.2,14.9,9.5,91.9,2.7,12.2,4.1
URY,blanco,653,1.8,3.2,5.7,2.6,95.7,2.0,4.0,1.8
URY,indigena,39,2.6,7.7,5.1,2.6,94.9,2.6,5.1,0.0
URY,mestizo,125,2.4,4.0,6.4,6.4,92.8,2.4,4.8,4.0
URY,otros,22,0.0,9.1,13.6,0.0,86.4,0.0,4.5,4.5
VEN,afro,125,4.0,4.0,20.8,5.6,86.4,4.8,4.8,0.8
VEN,blanco,237,5.5,5.5,32.5,8.4,88.2,7.6,7.2,0.8
VEN,indigena,60,5.0,6.7,55.0,1.7,91.7,1.7,3.3,1.7
VEN,mestizo,517,4.1,3.3,23.6,4.6,89.9,1.4,4.1,1.5
VEN,otros,10,10.0,10.0,30.0,20.0,100.0,0.0,0.0,0.0
POOL,afro,1772,8.8,12.7,25.5,9.2,78.3,5.8,10.8,5.6
POOL,blanco,3905,5.9,13.3,18.1,6.2,87.8,3.8,7.2,4.3
POOL,indigena,1608,9.3,18.9,29.4,9.5,78.3,6.1,9.5,5.7
POOL,mestizo,6989,5.0,14.4,23.6,6.7,86.8,3.3,6.9,3.0
POOL,otros,458,11.7,15.1,23.4,11.8,78.2,4.5,12.8,5.4
